"No","Nama_Produk","Ukuran_ml","Harga_dollar","Ulasan","Rating"
"1","COSRX AHA/BHA Treatment Toner","150","18.60","Nothing special… it seems to work. I have sensitive skin and so far so good.","3"
"2","COSRX AHA/BHA Treatment Toner","150","18.60","I keep this in a fridge so it’s really nice and refreshing when used. Soothing in fact. I have acne and combination sensitive skin. This doesn’t make my skin burn/irritated. I’m not really expecting this product “alone” to clear my acne as it contains a really small amount of Aha&Bha in it. Overall, this is a good toner.","4"
"3","COSRX AHA/BHA Treatment Toner","150","18.60","Really not sure if this does a lot - no scent which is good","3"
"4","COSRX AHA/BHA Treatment Toner","150","18.60","I love this product. It actually changed my skin from acne prone to smooth and clear. It also decreased my pores and helped me with black heads and white heads. Love this product and definitely gonna buy it again.","5"
"5","COSRX AHA/BHA Treatment Toner","150","18.60","The bottle was not sealed in any way … hence not very sure of the content","2"
"6","COSRX AHA/BHA Treatment Toner","150","18.60","This toner left my face feeling tight and dry","3"
"7","COSRX AHA/BHA Treatment Toner","150","18.60","For starters i have super dry dehydrated sensitive eczema prone skin. Literally quadruple homicide. My skin always looks so dead and dull and I have many dark marks and some texture so i legit hate my bare face and try to cover it with makeup. Physical exfoliants are too aggressive to slosh off the dead skin cells too. I’ve literally used this for two nights in a row and my pores legit disappeared. I can’t find them and my face is so smooth already. I haven’t had an irritation or purging yet but i like how light it is bc i was scared to venture into the aha bha area but after research information a lot my skin concerns were a good candidate for a chemical exfoliant. I only use it at night, i let my face dry completely before spraying a light layer then i let that sit and go do something else for like 20mins while it sits. I read on multiple skincare forums that this is the most effective way to get the benefits of the chemical ingredients. After the wait then i continue with my skin care. I don’t use it in the morning but i make sure to wear sunscreen everyday. Since i have sensitive skin i’m light-handed with the spray but my skin doesn’t feel stripped or tingly, it feels relaxed after i use it. I will continue to use this hoping to see a continuation of good results.","5"
"8","COSRX AHA/BHA Treatment Toner","150","18.60","I never really saw a difference with daily usage and I wore sunscreen everyday. It just didn’t work well with my skin and did nothing special for my hyperpigmentation and acne after ~7 months. It was okay, I didn’t see a big difference so I started using it on my body and it seemed more helpful there than my face.","3"
"9","COSRX AHA/BHA Treatment Toner","150","18.60","I spray a little into a cotton pad, it helped get rid of some of little bumps on my face. It did cause redness but that went away quickly","4"
"10","COSRX AHA/BHA Treatment Toner","150","18.60","Seems just okay. I was willing to try for the lower price point, but I use it more to wet my face before applying the snail mucin. I could tell no diff In texture/smoothness of my skin.","3"
