No,Nama_Produk,Ulasan,Rating
1,COSRX AHA/BHA Treatment Toner,Nothing special it seems to work. I have sensitive skin and so far so good.,3
2,COSRX AHA/BHA Treatment Toner,It’s nice and refreshing when used. Soothing in fact. This doesn’t make my skin burn/irritated.,4
3,COSRX AHA/BHA Treatment Toner,Not sure if this does a lot - no scent which is good,3
4,COSRX AHA/BHA Treatment Toner,I love this product. It decreased my pores and helped me with black heads and white heads. Love this product and definitely gonna buy it again.,5
5,COSRX AHA/BHA Treatment Toner,"smells very bad, I think the product already expired",1
6,COSRX AHA/BHA Treatment Toner,Worst! This toner left my face feeling tight and dry,3
7,COSRX AHA/BHA Treatment Toner,"This product save my skin, I will forever repurchase because it is worth it. It doesn’t give me any irritation or rashes. It clear my skin and give me such smooth skin! ",4
8,COSRX AHA/BHA Treatment Toner,"it smells nice, also It helped get rid of some of little bumps on my face. ",4
9,COSRX AHA/BHA Treatment Toner,Quite hydrated and glowing is all green flags from this exfoliating spray thing. My face definitely fuller brighter and less break outs.,2
10,COSRX AHA/BHA Treatment Toner,It's good chemical exfoliant for the very beginner,5
11,COSRX AHA/BHA Treatment Toner,"it has crack on top of the lid, so the product are spilled everywhere",2
12,COSRX AHA/BHA Treatment Toner,"love the pump, it make it easier",4
13,COSRX AHA/BHA Treatment Toner,I did not receive the product! Give my money back!,2
14,COSRX AHA/BHA Treatment Toner,It worsts my skin condition,1
15,COSRX AHA/BHA Treatment Toner,I had an extremely break out after using it.,2
16,COSRX AHA/BHA Treatment Toner,It didn't do much. Smelled bad and it didn't come properly sealed. Had to return it.,2
17,COSRX AHA/BHA Treatment Toner,I feel like this is an Okay toner but for some reason it broke me out and I couldn't figure out what it was until I switched toners.,3
18,COSRX AHA/BHA Treatment Toner,"This toner is good enough. It's very light and subtle. Doesn't strip your skin of oils, slightly hydrating in fact.",4
19,COSRX AHA/BHA Treatment Toner,"poor delivery, the poduct are spilled over the box",2
20,COSRX AHA/BHA Treatment Toner,"It feels nice, super light weight...but haven't noticed much of a change. I guess I was hoping for a miracle, super impressed with the overall product.",3
21,COSRX AHA/BHA Treatment Toner,my skin become really sensitive after a week using this product. ,2
22,COSRX AHA/BHA Treatment Toner,Didn’t notice a difference in my skin.,3
23,COSRX AHA/BHA Treatment Toner,It harsh my skin barrier,1
24,COSRX AHA/BHA Treatment Toner,My face stay irritated for days,2
25,COSRX AHA/BHA Treatment Toner,"Use daily, can’t tell if it works. Probably will not purchase again.",3
